level,seed,part,valid,position_error_m,quality,source_view,backend,detector_resolution
L2,1501,pin_right,1,0.0009924426252558701,0.8467268244804247,top_view,rgbd_geometry,640x480
L2,1501,handle,1,0.011953947910917318,0.781153048627232,task_view,rgbd_geometry,640x480
L2,1501,wipe_tool,1,0.0015129410481590532,0.9157369419061289,task_view,rgbd_geometry,640x480
L2,1502,carriage,1,0.005584429398316201,0.7345200276374101,top_view,rgbd_geometry,640x480
L2,1502,end_stop,1,0.004695427145685097,0.8025836498766402,top_view,rgbd_geometry,640x480
L2,1502,pin_left,1,0.001403797269333844,0.8490008654616581,top_view,rgbd_geometry,640x480
L2,1502,pin_right,1,0.0015738035220481468,0.8441904443645304,top_view,rgbd_geometry,640x480
L2,1502,handle,1,17.66555663534161,0.8632612769105321,top_view,rgbd_geometry,640x480
L2,1502,wipe_tool,1,0.0015129410481590532,0.9157369419061289,task_view,rgbd_geometry,640x480
L2,1503,carriage,1,0.007971170447398307,0.7519031973872818,top_view,rgbd_geometry,640x480
L2,1503,end_stop,1,0.003766722005871634,0.7940906530981221,top_view,rgbd_geometry,640x480
L2,1503,pin_left,1,0.0003411627818279212,0.8419538445569733,top_view,rgbd_geometry,640x480
L2,1503,pin_right,1,0.0012907075717952304,0.8476005538754281,top_view,rgbd_geometry,640x480
L2,1503,handle,1,0.011996878124247927,0.7917862224966814,task_view,rgbd_geometry,640x480
L2,1503,wipe_tool,1,0.0015129410481590532,0.9157369419061289,task_view,rgbd_geometry,640x480
