model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
residual_17,8,informative,True,16,12,1.0,1.0,0.0,0.0456995432679024
pin_mlp_17,1,all,all,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.1647272180917854
pin_mlp_17,1,family,rigid_connector_module,10,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.30322384420368403
pin_mlp_17,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,1,length,19,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,1,length,22,2,2,1.0,1.0,0.0,0.71875
pin_mlp_17,1,length,58,2,2,1.0,1.0,0.0,0.3359375
pin_mlp_17,1,length,76,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.22936534136533737
pin_mlp_17,1,pool_type,mixed,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.1647272180917854
pin_mlp_17,1,informative,True,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.1647272180917854
pin_mlp_17,2,all,all,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.30322384420368403
pin_mlp_17,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,2,length,19,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,2,length,22,2,2,1.0,1.0,0.0,0.71875
pin_mlp_17,2,length,58,2,2,1.0,1.0,0.0,0.3359375
pin_mlp_17,2,length,76,6,6,1.0,1.0,0.0,0.22936534136533737
pin_mlp_17,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,2,informative,True,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,4,all,all,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.30322384420368403
pin_mlp_17,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,4,length,19,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,4,length,22,2,2,1.0,1.0,0.0,0.71875
pin_mlp_17,4,length,58,2,2,1.0,1.0,0.0,0.3359375
pin_mlp_17,4,length,76,6,6,1.0,1.0,0.0,0.22936534136533737
pin_mlp_17,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,4,informative,True,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,8,all,all,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.30322384420368403
pin_mlp_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,8,length,19,6,6,1.0,1.0,0.0,0.026230591979886714
pin_mlp_17,8,length,22,2,2,1.0,1.0,0.0,0.71875
pin_mlp_17,8,length,58,2,2,1.0,1.0,0.0,0.3359375
pin_mlp_17,8,length,76,6,6,1.0,1.0,0.0,0.22936534136533737
pin_mlp_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.1647272180917854
pin_mlp_17,8,informative,True,16,12,1.0,1.0,0.0,0.1647272180917854
mlp_43,1,all,all,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06940184616703644
