model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
residual_43,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07237294523252381
residual_43,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,2,length,19,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,2,length,22,2,2,1.0,1.0,0.0,0.08786316402256489
residual_43,2,length,58,2,2,1.0,1.0,0.0,0.2027641236782074
residual_43,2,length,76,6,6,1.0,1.0,0.0,0.06503185257315636
residual_43,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,2,informative,True,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,4,all,all,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07237294523252381
residual_43,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,4,length,19,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,4,length,22,2,2,1.0,1.0,0.0,0.08786316402256489
residual_43,4,length,58,2,2,1.0,1.0,0.0,0.2027641236782074
residual_43,4,length,76,6,6,1.0,1.0,0.0,0.06503185257315636
residual_43,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,4,informative,True,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,8,all,all,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07237294523252381
residual_43,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,8,length,19,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,8,length,22,2,2,1.0,1.0,0.0,0.08786316402256489
residual_43,8,length,58,2,2,1.0,1.0,0.0,0.2027641236782074
residual_43,8,length,76,6,6,1.0,1.0,0.0,0.06503185257315636
residual_43,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,8,informative,True,16,12,1.0,1.0,0.0,0.05367304177747833
fewshot_mlp_17,1,all,all,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.18812489783805278
fewshot_mlp_17,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,1,length,19,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,1,length,22,2,2,1.0,1.0,0.0,0.71875
fewshot_mlp_17,1,length,58,2,2,1.0,1.0,0.0,0.11019431799650192
fewshot_mlp_17,1,length,76,6,6,1.0,1.0,0.0,0.13877924143647155
fewshot_mlp_17,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,1,informative,True,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,2,all,all,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.18812489783805278
fewshot_mlp_17,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,2,length,19,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,2,length,22,2,2,1.0,1.0,0.0,0.71875
fewshot_mlp_17,2,length,58,2,2,1.0,1.0,0.0,0.11019431799650192
fewshot_mlp_17,2,length,76,6,6,1.0,1.0,0.0,0.13877924143647155
fewshot_mlp_17,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,2,informative,True,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,4,all,all,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.18812489783805278
fewshot_mlp_17,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,4,length,19,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,4,length,22,2,2,1.0,1.0,0.0,0.71875
fewshot_mlp_17,4,length,58,2,2,1.0,1.0,0.0,0.11019431799650192
fewshot_mlp_17,4,length,76,6,6,1.0,1.0,0.0,0.13877924143647155
fewshot_mlp_17,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,4,informative,True,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,8,all,all,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.18812489783805278
fewshot_mlp_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,8,length,19,6,6,1.0,1.0,0.0,0.03132284687065597
fewshot_mlp_17,8,length,22,2,2,1.0,1.0,0.0,0.71875
fewshot_mlp_17,8,length,58,2,2,1.0,1.0,0.0,0.11019431799650192
fewshot_mlp_17,8,length,76,6,6,1.0,1.0,0.0,0.13877924143647155
fewshot_mlp_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.10972387235435438
fewshot_mlp_17,8,informative,True,16,12,1.0,1.0,0.0,0.10972387235435438
v1_fixed,1,all,all,16,12,0.5,0.5,0.5,0.29608529939964495
v1_fixed,1,family,rigid_connector_module,10,6,0.5,0.5,0.5,0.32001418986871843
v1_fixed,1,family,sliding_stage_pin,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,1,length,19,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,1,length,22,2,2,0.0,0.0,1.0,0.21492229177957767
v1_fixed,1,length,58,2,2,1.0,1.0,0.0,0.3192280721744304
v1_fixed,1,length,76,6,6,0.5,0.5,0.5,0.3327720036371059
v1_fixed,1,pool_type,mixed,16,12,0.5,0.5,0.5,0.29608529939964495
v1_fixed,1,informative,True,16,12,0.5,0.5,0.5,0.29608529939964495
v1_fixed,2,all,all,16,12,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.29608529939964495
v1_fixed,2,family,rigid_connector_module,10,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.32001418986871843
v1_fixed,2,family,sliding_stage_pin,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,2,length,19,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,2,length,22,2,2,0.0,0.0,1.0,0.21492229177957767
v1_fixed,2,length,58,2,2,1.0,1.0,0.0,0.3192280721744304
v1_fixed,2,length,76,6,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3327720036371059
v1_fixed,2,pool_type,mixed,16,12,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.29608529939964495
v1_fixed,2,informative,True,16,12,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.29608529939964495
v1_fixed,4,all,all,16,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.29608529939964495
v1_fixed,4,family,rigid_connector_module,10,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.32001418986871843
v1_fixed,4,family,sliding_stage_pin,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,4,length,19,6,6,0.5,0.5,0.5,0.2721564089305714
v1_fixed,4,length,22,2,2,0.0,0.0,1.0,0.21492229177957767
v1_fixed,4,length,58,2,2,1.0,1.0,0.0,0.3192280721744304
v1_fixed,4,length,76,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.3327720036371059
v1_fixed,4,pool_type,mixed,16,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.29608529939964495
v1_fixed,4,informative,True,16,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.29608529939964495
v1_fixed,8,all,all,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.29608529939964495
v1_fixed,8,family,rigid_connector_module,10,6,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.32001418986871843
v1_fixed,8,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.2721564089305714
v1_fixed,8,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.2721564089305714
v1_fixed,8,length,22,2,2,0.0,0.0,1.0,0.21492229177957767
v1_fixed,8,length,58,2,2,1.0,1.0,0.0,0.3192280721744304
v1_fixed,8,length,76,6,6,1.0,1.0,0.0,0.3327720036371059
v1_fixed,8,pool_type,mixed,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.29608529939964495
v1_fixed,8,informative,True,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.29608529939964495
geometry,1,all,all,16,12,0.8055555555555555,0.8055555555555555,0.19444444444444442,
geometry,1,family,rigid_connector_module,10,6,0.7777777777777777,0.7777777777777777,0.2222222222222222,
geometry,1,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,
geometry,1,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,
geometry,1,length,22,2,2,1.0,1.0,0.0,
geometry,1,length,58,2,2,1.0,1.0,0.0,
geometry,1,length,76,6,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,
geometry,1,pool_type,mixed,16,12,0.8055555555555555,0.8055555555555555,0.19444444444444442,
geometry,1,informative,True,16,12,0.8055555555555555,0.8055555555555555,0.19444444444444442,
geometry,2,all,all,16,12,1.0,1.0,0.0,
geometry,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,
geometry,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,
geometry,2,length,19,6,6,1.0,1.0,0.0,
geometry,2,length,22,2,2,1.0,1.0,0.0,
geometry,2,length,58,2,2,1.0,1.0,0.0,
geometry,2,length,76,6,6,1.0,1.0,0.0,
geometry,2,pool_type,mixed,16,12,1.0,1.0,0.0,
geometry,2,informative,True,16,12,1.0,1.0,0.0,
geometry,4,all,all,16,12,1.0,1.0,0.0,
geometry,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,
geometry,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,
geometry,4,length,19,6,6,1.0,1.0,0.0,
geometry,4,length,22,2,2,1.0,1.0,0.0,
geometry,4,length,58,2,2,1.0,1.0,0.0,
geometry,4,length,76,6,6,1.0,1.0,0.0,
geometry,4,pool_type,mixed,16,12,1.0,1.0,0.0,
geometry,4,informative,True,16,12,1.0,1.0,0.0,
geometry,8,all,all,16,12,1.0,1.0,0.0,
geometry,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,
geometry,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,
geometry,8,length,19,6,6,1.0,1.0,0.0,
geometry,8,length,22,2,2,1.0,1.0,0.0,
geometry,8,length,58,2,2,1.0,1.0,0.0,
geometry,8,length,76,6,6,1.0,1.0,0.0,
geometry,8,pool_type,mixed,16,12,1.0,1.0,0.0,
geometry,8,informative,True,16,12,1.0,1.0,0.0,
