view,seed,split,accuracy,balanced_accuracy,roc_auc,brier,top4_hit,status
none,17,heldout,,,,,,pending
none,29,heldout,,,,,,pending
none,43,heldout,,,,,,pending
task,17,heldout,,,,,,pending
task,29,heldout,,,,,,pending
task,43,heldout,,,,,,pending
top,17,heldout,,,,,,pending
top,29,heldout,,,,,,pending
top,43,heldout,,,,,,pending
both,17,heldout,,,,,,pending
both,29,heldout,,,,,,pending
both,43,heldout,,,,,,pending
