artifact,runset,family,seed,checkpoint,method,checkpoint_sha256,implementation_sha256,input_sha256,protocol,n,k,budget,repeats,accept_rate,allow_expand,independent_execution_success,deployment_rollouts,deployment_physics_steps,decision_seconds,deployment_successful_sim_seconds,scene_setup_seconds,model_cold_seconds,visual_cold_seconds,scene_setup_plus_decision_seconds,accounted_scene_decision_deployment_seconds,candidate_generation_seconds,necessary_geometry_seconds,optional_geometry_seconds,render_seconds,visual_encoding_seconds,network_seconds,numeric_features_seconds,restore_seconds,twin_seconds,deferred_solving_seconds_subset,deployment_seconds,later_parameter_solving_seconds_subset,rollouts,unique_candidates,physics_steps,timeouts,deployment_timeouts,budget_exhausted,budget_fully_spent,accepted,reference_repeats,pool_type,pool_best_reference,near_optimal_hit_at_k,feasible_hit_at_k,regret_at_k,selected_reference,selected_regret,pool_near_best_reference_sim_seconds,selected_reference_sim_seconds,selected_secondary_time_regret_seconds
results/value_v2/online/rigid_connector_module_20040_0_residual_best_within_budget/decision.json,online,rigid_connector_module,20040,0,residual,13a5cdb2570c123cf90d8f88048eda8e1624b05d9545a530f1144eb77ab03074,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,best_within_budget,16,4,8,2,0.5,False,1.0,2,150290,173.11344926594757,150.28999999999715,1.0442788830259815,0.005537980934605002,0.0,174.15772814897355,212.71623147989158,0.14254445128608495,1.8608093716902658,0.7460584379732609,0.0,0.0,0.023613627068698406,0.006751933018676937,0.0038055790355429053,169.8456735011423,9.56013397523202,38.55850333091803,8.403347428771667,8,4,651670,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,148.7099999999896,150.2399999999969,1.5300000000073055
results/value_v2/online/rigid_connector_module_20040_0_residual_first_verified/decision.json,online,rigid_connector_module,20040,0,residual,13a5cdb2570c123cf90d8f88048eda8e1624b05d9545a530f1144eb77ab03074,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,first_verified,16,4,8,2,0.5,False,1.0,2,150290,41.30375444795936,150.28999999999715,1.0405435391003266,0.005537980934605002,0.0,42.34429798705969,79.95192318805493,0.030461646849289536,1.8795404861448333,0.7442498989403248,0.0,0.0,0.022974345949478447,0.00660143606364727,0.0009069179650396109,38.18510262097698,2.1121807624585927,37.607625200995244,1.9103146562119946,2,1,150290,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,148.7099999999896,150.2399999999969,1.5300000000073055
results/value_v2/online/rigid_connector_module_20040_0_v1_fixed_best_within_budget/decision.json,online,rigid_connector_module,20040,0,v1_fixed,75dedd09a16fd9cdf163955aa2908b9bd5b6586a12be3ca28fd5fb5d1a9ad489,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,best_within_budget,16,4,8,2,0.5,False,0.0,0,0,80.45178717700765,,1.0375842070207,0.07574754499364644,1.0600005049491301,81.48937138402835,81.48937138402835,0.03151051374152303,1.8971895122667775,0.0,0.2216065509710461,0.030543652013875544,0.315934497048147,4.780013114213943e-07,0.0036339130019769073,77.3773406369146,4.292302684276365,0,2.808111693477258,8,4,310510,0,0,1,1,0,2,mixed,1.0,0.0,0.0,1.0,0.0,1.0,148.7099999999896,,
results/value_v2/online/rigid_connector_module_20040_0_v1_fixed_first_verified/decision.json,online,rigid_connector_module,20040,0,v1_fixed,75dedd09a16fd9cdf163955aa2908b9bd5b6586a12be3ca28fd5fb5d1a9ad489,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,first_verified,16,4,8,2,0.5,False,0.0,0,0,81.64469167601783,,1.0333304309751838,0.07574754499364644,1.0600005049491301,82.67802210699301,82.67802210699301,0.029527430306188762,1.87456497666426,0.0,0.20835085900034755,0.029652850003913045,0.3115599600132555,3.390014171600342e-07,0.0036847558803856373,78.73039208794944,4.307684064726345,0,2.804433523211628,8,4,310510,0,0,1,1,0,2,mixed,1.0,0.0,0.0,1.0,0.0,1.0,148.7099999999896,,
results/value_v2/online/rigid_connector_module_20040_0_vision_best_within_budget/decision.json,online,rigid_connector_module,20040,0,vision,ca04eeb22ab518ae361eb5b92612be3086321c603b241d93a13aeac5d6624ef2,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,best_within_budget,16,4,8,2,0.5,False,1.0,2,150290,171.77486634498928,150.28999999999715,1.0297592020360753,0.058445901959203184,1.0600005049491301,172.80462554702535,210.54384423105512,0.029316931031644344,1.8712260000174865,0.0,0.21896069508511573,0.027938449988141656,0.3122768239118159,4.359753802418709e-07,0.0039353970205411315,168.7305846340023,10.02595139387995,37.739218684029765,8.697863261098973,8,4,651360,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,148.7099999999896,150.2399999999969,1.5300000000073055
results/value_v2/online/rigid_connector_module_20040_0_vision_first_verified/decision.json,online,rigid_connector_module,20040,0,vision,ca04eeb22ab518ae361eb5b92612be3086321c603b241d93a13aeac5d6624ef2,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,first_verified,16,4,8,2,0.5,False,1.0,2,150290,41.6410167979775,150.28999999999715,1.0323212509974837,0.058445901959203184,1.0600005049491301,42.67333804897498,81.06679068785161,0.028780882130376995,1.8630825758446008,0.0,0.2770107000833377,0.0725278010359034,0.3069051019847393,4.130415618419647e-07,0.0009245258988812566,38.569872098159976,2.11839021591004,38.393452638876624,1.9181927038589492,2,1,150290,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,148.7099999999896,150.2399999999969,1.5300000000073055
results/value_v2/online/rigid_connector_module_20040_exhaustive/decision.json,online,rigid_connector_module,20040,0,exhaustive,,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,850f29d2b501627d1e222722b10bda3420fd3dd7ad89c0c542ea935ba0e5832d,best_within_budget,16,16,32,2,0.5,False,1.0,2,150290,512.0666804600041,150.28999999999715,1.0307400210294873,0.0,0.0,513.0974204810336,550.9992871289141,0.029826743062585592,1.876689068856649,0.7455232109641656,0.0,0.0,0.0,0.0,0.01528627728112042,508.5645278096199,29.303160424227826,37.901866647880524,24.383209771476686,32,16,2003730,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,148.7099999999896,150.2399999999969,1.5300000000073055
results/value_v2/online/rigid_connector_module_20041_0_geometry_best_within_budget/decision.json,online,rigid_connector_module,20041,0,geometry,,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,150430,170.95258736098185,150.42999999999782,1.0593867879360914,0.0,0.0,172.01197414891794,210.31518956075888,0.03054896497633308,1.8474750560708344,0.8393904030090198,0.0,0.0,0.0,0.0,0.004004964837804437,167.6325743937632,10.450041539617814,38.30321541184094,9.126366623211652,8,4,649230,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,150.41999999999777,0.0
results/value_v2/online/rigid_connector_module_20041_0_geometry_first_verified/decision.json,online,rigid_connector_module,20041,0,geometry,,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,170560,91.15905762801412,170.56000000009394,1.049324585008435,0.0,0.0,92.20838221302256,136.48516591312364,0.0297829118790105,1.5949578961590305,0.7651959189679474,0.0,0.0,0.0,0.0,0.0019483460346236825,88.31787980196532,5.368628899450414,44.27678370010108,4.607981822220609,4,2,337490,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,170.50000000009365,20.08000000009588
results/value_v2/online/rigid_connector_module_20041_0_mlp_best_within_budget/decision.json,online,rigid_connector_module,20041,0,mlp,2d1b73af8d31e70aad10de1dc7c6d493aca154509addb13409d433b8216f8459,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,150430,166.59758451394737,150.42999999999782,1.02760902303271,0.012855720124207437,0.0,167.62519353698008,205.21805862919427,0.02984576637391001,1.568068899679929,0.7515139299212024,0.0,0.0,0.022950110025703907,0.0068687290186062455,0.003862969810143113,163.61847709096037,10.073343288851902,37.5928650922142,8.95845518517308,8,4,645400,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,150.41999999999777,0.0
