method,stratum,metric,mean,ci95_low,ci95_high,groups,configurations,eligible_groups,eligible_configurations,all_failure_groups
compact_17,checkpoint_2,excess_quality2,0.359375,0.09375,0.625,4,4,4,4,1
compact_17,checkpoint_2,boundary_near_tie2,0.0,0.0,0.0,4,4,4,4,1
compact_17,checkpoint_2,hit4,1.0,1.0,1.0,4,4,3,3,1
compact_17,checkpoint_2,feasible4,0.75,0.25,1.0,4,4,4,4,1
compact_17,checkpoint_2,quality4,0.375,0.125,0.5625,4,4,4,4,1
compact_17,checkpoint_2,regret4,0.0,0.0,0.0,4,4,4,4,1
compact_17,checkpoint_2,random_hit4,0.6904761904761904,0.5,0.7857142857142857,4,4,3,3,1
compact_17,checkpoint_2,random_feasible4,0.6607142857142858,0.23214285714285715,0.9285714285714286,4,4,4,4,1
compact_17,checkpoint_2,random_quality4,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17,checkpoint_2,excess_hit4,0.30952380952380953,0.2142857142857143,0.5,4,4,3,3,1
compact_17,checkpoint_2,excess_feasible4,0.08928571428571427,0.01785714285714285,0.17857142857142858,4,4,4,4,1
compact_17,checkpoint_2,excess_quality4,0.171875,0.0625,0.28125,4,4,4,4,1
compact_17,checkpoint_2,boundary_near_tie4,0.0,0.0,0.0,4,4,4,4,1
compact_17,checkpoint_2,score_spread,0.41945196711176935,0.35157552972416606,0.5052697351910524,4,4,4,4,1
compact_17,checkpoint_2,numerically_flat,0.0,0.0,0.0,4,4,4,4,1
compact_17,checkpoint_2,adjacent_near_tie_fraction,0.0,0.0,0.0,4,4,4,4,1
compact_17,checkpoint_2,intermediate_label_fraction,0.09375,0.0,0.1875,4,4,4,4,1
compact_17,checkpoint_2,empirical_pool_quality,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17,checkpoint_2,brier,0.11708575540580507,0.09887338302422106,0.13485676126392587,4,4,4,4,1
compact_17,checkpoint_2,bernoulli_brier,0.14052325540580507,0.12017037869672292,0.16087613211488722,4,4,4,4,1
compact_17,checkpoint_2,log_loss,0.4093629957796275,0.35819715682891196,0.46052883473034306,4,4,4,4,1
compact_17,checkpoint_3,hit1,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,feasible1,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,quality1,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,regret1,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,random_hit1,0.5,0.5,0.5,2,2,2,2,0
compact_17,checkpoint_3,random_feasible1,0.5625,0.5,0.625,2,2,2,2,0
compact_17,checkpoint_3,random_quality1,0.53125,0.5,0.5625,2,2,2,2,0
compact_17,checkpoint_3,excess_hit1,0.5,0.5,0.5,2,2,2,2,0
compact_17,checkpoint_3,excess_feasible1,0.4375,0.375,0.5,2,2,2,2,0
compact_17,checkpoint_3,excess_quality1,0.46875,0.4375,0.5,2,2,2,2,0
compact_17,checkpoint_3,boundary_near_tie1,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,hit2,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,feasible2,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,quality2,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,regret2,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,random_hit2,0.7857142857142857,0.7857142857142857,0.7857142857142857,2,2,2,2,0
compact_17,checkpoint_3,random_feasible2,0.8392857142857143,0.7857142857142857,0.8928571428571429,2,2,2,2,0
compact_17,checkpoint_3,random_quality2,0.53125,0.5,0.5625,2,2,2,2,0
compact_17,checkpoint_3,excess_hit2,0.2142857142857143,0.2142857142857143,0.2142857142857143,2,2,2,2,0
compact_17,checkpoint_3,excess_feasible2,0.1607142857142857,0.1071428571428571,0.2142857142857143,2,2,2,2,0
compact_17,checkpoint_3,excess_quality2,0.46875,0.4375,0.5,2,2,2,2,0
compact_17,checkpoint_3,boundary_near_tie2,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,hit4,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,feasible4,1.0,1.0,1.0,2,2,2,2,0
compact_17,checkpoint_3,quality4,0.9375,0.875,1.0,2,2,2,2,0
compact_17,checkpoint_3,regret4,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,random_hit4,0.9857142857142858,0.9857142857142858,0.9857142857142858,2,2,2,2,0
compact_17,checkpoint_3,random_feasible4,0.9928571428571429,0.9857142857142858,1.0,2,2,2,2,0
compact_17,checkpoint_3,random_quality4,0.53125,0.5,0.5625,2,2,2,2,0
compact_17,checkpoint_3,excess_hit4,0.014285714285714235,0.014285714285714235,0.014285714285714235,2,2,2,2,0
compact_17,checkpoint_3,excess_feasible4,0.0071428571428571175,0.0,0.014285714285714235,2,2,2,2,0
compact_17,checkpoint_3,excess_quality4,0.40625,0.3125,0.5,2,2,2,2,0
compact_17,checkpoint_3,boundary_near_tie4,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,score_spread,0.5161096233891006,0.4529039117459806,0.5793153350322207,2,2,2,2,0
compact_17,checkpoint_3,numerically_flat,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,adjacent_near_tie_fraction,0.0,0.0,0.0,2,2,2,2,0
compact_17,checkpoint_3,intermediate_label_fraction,0.0625,0.0,0.125,2,2,2,2,0
compact_17,checkpoint_3,empirical_pool_quality,0.53125,0.5,0.5625,2,2,2,2,0
compact_17,checkpoint_3,brier,0.15672441886417293,0.1283315575592643,0.18511728016908158,2,2,2,2,0
compact_17,checkpoint_3,bernoulli_brier,0.17234941886417293,0.1595815575592643,0.18511728016908158,2,2,2,2,0
compact_17,checkpoint_3,log_loss,0.4658441829466401,0.4407584026964966,0.4909299631967836,2,2,2,2,0
